id,collaborators
614874,[157424]
614817,[49956]
614701,[156845]
614589,"[60594, 120245]"
614568,[2165]
614421,[118453]
614363,"[157352, 157351]"
614307,[156097]
614265,[156097]
614206,"[62218, 88794, 62130, 25586, 69513]"
614129,[155389]
614026,"[61452, 90123]"
614025,"[61452, 90123]"
613919,[144760]
613910,"[23649, 15733, 23647, 11823, 16818]"
613902,[23879]
613838,[23262]
613740,[123999]
613704,[57443]
613657,[152558]
613656,[157228]
613557,[154374]
613479,[59965]
613427,[150032]
613376,"[31784, 17204, 55832, 54940]"
613314,[25569]
613282,[157144]
613016,[139110]
612843,[153359]
612831,[106253]
612787,[147544]
612770,"[157052, 25254]"
612760,[142666]
612728,[68484]
612458,"[157000, 156999]"
612453,"[145664, 145554, 144296, 144340, 144298]"
612373,[68799]
612255,[17771]
612087,[82235]
612006,"[157296, 138299]"
611926,[87300]
611907,[156117]
611896,"[146929, 60828]"
611887,"[146929, 119751]"
611876,"[53231, 55789]"
611800,[156868]
611658,[156839]
611653,"[9578, 156834]"
611622,"[156836, 156835]"
611414,[156587]
611383,[64931]
611248,[156746]
611201,[69407]
611165,[156722]
610889,"[72470, 50388]"
610883,"[72470, 50388]"
610864,[156651]
610822,[8400]
610820,[85211]
610659,"[156616, 156615]"
610627,"[120803, 120805, 120806]"
610625,[63964]
610548,[50341]
610541,"[152100, 146693]"
610452,[156587]
610435,[149482]
610424,"[83847, 82978, 56738, 37752, 52119, 108447, 130511]"
610272,[112606]
610012,[109703]
609964,[27398]
609839,"[120598, 155042, 68130]"
609763,[50453]
609740,[63964]
609566,[120245]
609535,[14273]
609522,"[121333, 156377]"
609375,"[13496, 29332]"
609371,[108167]
609205,[112606]
608832,[156219]
608714,[449]
608662,[153215]
608571,[156165]
608542,"[156175, 156176]"
608534,"[156174, 156170]"
608517,[29564]
608452,"[128211, 117942]"
608451,[64702]
608404,"[113144, 153337]"
608399,[138134]
608179,"[8458, 55203, 15891]"
608156,[154780]
608077,[156097]
608069,"[157294, 150839, 140658]"
608065,[87300]
608033,"[122921, 122920]"
608031,"[122921, 122920]"
608028,[122920]
608022,[122920]
607942,[157204]
607923,[126539]
607790,[68870]
607787,[68870]
607766,[155847]
607633,"[146929, 60828]"
607617,[87300]
607608,[156148]
607459,[137742]
607363,[131481]
607359,[155942]
607255,[145616]
607252,[154851]
607241,"[155926, 73618]"
607158,[151501]
607141,[18365]
606963,[156954]
606962,[75441]
606951,"[128114, 127982, 128560]"
606731,[155192]
606712,[155819]
606711,[155819]
606705,[155819]
606421,[110100]
606362,[155720]
606335,"[155899, 127653]"
606242,"[155716, 69927]"
606207,[155697]
606171,[152612]
606149,[83072]
606128,[155174]
606045,"[54558, 24729]"
605997,"[164497, 155664, 155663, 155662, 155661, 155660, 155659, 155658, 155657, 155656, 155655, 155654, 155653, 155652, 155651, 155650, 155649, 155648, 155647]"
605831,[155620]
605824,"[136574, 105265]"
605811,"[155615, 155614]"
605715,[127143]
605625,[68593]
605375,[18545]
605270,[106905]
605214,[60401]
605135,[62265]
604965,[71638]
604805,[145360]
604763,[129634]
604762,[122920]
604695,[122920]
604688,[122920]
604627,[77428]
604526,"[155309, 155310, 65457]"
604297,"[132353, 110475]"
604269,[155256]
604050,"[149334, 72462]"
604038,[4322]
603826,[24514]
603757,[155172]
603704,"[37252, 3296, 38086, 11581]"
603349,[114375]
603280,"[128211, 117942]"
603169,[156621]
603160,[147617]
603153,[155260]
603106,[155044]
602975,"[149334, 116946]"
602966,"[106031, 103271, 88000]"
602965,[48270]
602825,[87300]
602818,[87300]
602807,[87300]
602642,[21833]
602629,[113040]
602620,"[86682, 153844]"
602571,[149320]
602488,[21833]
602150,"[135932, 24213]"
602128,[130517]
601944,[25254]
601841,"[143861, 141746]"
601725,"[124305, 131932]"
601688,[154859]
601200,[126592]
601159,"[128028, 154550]"
601145,"[113144, 126592]"
601110,"[134062, 154632]"
601028,"[155270, 155269, 12710]"
601014,[154637]
600963,[139273]
600962,[139273]
600949,[139273]
600715,"[64047, 13786]"
600699,"[63682, 123677, 64935]"
600696,[58799]
600688,[124999]
600658,"[155781, 155780]"
600650,[147902]
600579,[87300]
600561,"[154977, 149473]"
600422,"[154543, 154541]"
600230,"[128068, 128549, 128174, 152904]"
600073,[37617]
600022,[25833]
599862,"[69700, 68799]"
599484,[11064]
599408,[115468]
599219,[110828]
599129,[154267]
599103,[31472]
599069,[141709]
598987,[19405]
598926,[154239]
598862,"[154221, 73557]"
598613,"[28904, 63615]"
598604,[154236]
598538,"[154122, 154119, 112553]"
598522,"[153342, 126592]"
598489,[156105]
598474,[144276]
598443,"[129776, 135092]"
598427,[78378]
598426,[78378]
598335,"[104601, 127571, 104598]"
598270,[126592]
598235,[67347]
598185,"[128725, 154755, 152781, 87863, 152804, 153502, 153847, 152950, 152558, 153040, 152791, 108044, 131889, 143819, 152544, 152527, 82466]"
598129,[154056]
597812,"[32387, 18275]"
597793,[126592]
597790,[126592]
597706,"[153848, 153864, 153863]"
597650,[121698]
597637,[153542]
597531,"[153749, 139890]"
597516,[153820]
597494,"[7947, 83072]"
597479,[74986]
597458,[68799]
597348,"[62504, 16649]"
597276,"[154744, 153779, 153774, 153783, 153782, 153781, 153780, 153778, 153777, 153776, 153775]"
597243,"[155204, 155203]"
597230,[38427]
597225,[133091]
597204,[153337]
597196,[61036]
597164,[153999]
597146,[145697]
597105,"[122921, 152940]"
596983,[153716]
596982,"[154510, 134206, 135689, 132293]"
596653,"[153603, 71443, 153602]"
596596,"[49386, 49363, 51054]"
596546,"[83596, 60400, 153582]"
596476,[9179]
596459,"[25027, 23368]"
596402,"[113144, 153337]"
596361,[28371]
596346,"[14519, 17071]"
596340,"[153561, 153560, 153559]"
596221,[59965]
596205,[73744]
596104,[23274]
596098,"[153528, 132552, 153518, 153526]"
596035,"[144540, 32066]"
596020,[80921]
596007,[116313]
595956,[153178]
595947,[153178]
595823,[153429]
595776,[153421]
595775,[153421]
595773,"[153434, 153433, 148937, 148938]"
595772,[153421]
595770,[153421]
595768,[153421]
595756,[153423]
595752,[153416]
595478,[126592]
595470,[153342]
595460,[126592]
595455,[153342]
595446,"[126592, 153342]"
595445,[126592]
595442,"[153342, 126592]"
595440,"[113144, 153342, 126592]"
595415,"[151071, 153359, 153358, 153357, 153356, 153355, 125381, 153354, 153353, 153215, 153351]"
595394,[153342]
595378,[153342]
595376,"[153342, 126592]"
595373,[126592]
595224,[142241]
595119,"[62894, 62872]"
595109,"[152802, 152800, 153292, 153291, 153290, 153289, 153288, 153287, 153286]"
595007,[23349]
594975,[79605]
594869,"[11823, 58820]"
594867,[142241]
594771,[78708]
594740,[153559]
594601,"[153161, 151012, 47882, 74765, 152480, 152483, 151011, 151010, 152484, 152482, 153150]"
594566,"[153150, 151012, 153161, 153157, 153159, 152480, 152482, 152483, 151010, 151011, 151997]"
594260,[81723]
594239,"[62111, 153550]"
594125,[141889]
594110,[87171]
594050,[153103]
593790,[152979]
593706,"[23097, 71426]"
593568,"[54926, 151496]"
593502,"[127982, 129241, 152904, 128114, 128560]"
593487,"[152897, 152898, 152656]"
593367,"[50388, 147681]"
593229,"[152835, 23666, 23706]"
593114,[103462]
592986,[85623]
592960,[1844]
592721,"[12899, 56385]"
592650,[49052]
592605,"[153484, 153178]"
592281,[15733]
592279,[154484]
592210,[20630]
592209,"[153152, 153156]"
592167,"[153214, 142739]"
592096,[152979]
591857,[54637]
591732,"[115692, 111269]"
591729,[145875]
591690,"[90950, 88719, 63909, 103462]"
591671,[9182]
591594,"[147519, 110189]"
591571,"[153150, 153161, 151012, 153157, 153159, 152484, 152482, 152480, 151010, 152483, 151011, 151997]"
591566,"[153150, 153161, 151012, 153159, 152484, 152480, 151011, 151997, 151010, 152482, 152483]"
591556,"[153150, 153161, 151012, 153157, 153159, 152484, 151011, 152482, 152480, 152483, 151010, 151997]"
591531,"[153150, 153161, 151012, 153157, 153159, 152482, 152480, 152483, 151010, 151011, 151997]"
591522,"[151012, 153161, 153157, 153159, 153150, 151997, 151010, 152484, 152480, 152483, 152482]"
591520,"[153150, 153161, 151012, 153157, 153159, 152480, 152482, 152483, 151010, 151997, 151011]"
591511,"[152476, 152475, 152474, 152468, 152467]"
591510,"[153150, 153161, 151012, 153157, 153159, 152484, 152480, 152482, 152483, 151010, 151997, 151011]"
591389,[60132]
591347,"[135785, 132867, 135786]"
591170,"[72470, 50388]"
591142,[153629]
591015,[151853]
590895,[152496]
590838,[152306]
590659,"[7616, 343, 23, 17]"
590634,[72956]
590605,[87191]
590601,[87191]
590598,[87191]
590590,"[63184, 61544]"
590586,[72956]
590204,[138798]
590195,"[124485, 124130]"
590181,[152150]
590130,[72956]
590107,[72956]
590090,[152143]
590085,[72956]
590080,[72956]
590078,[72956]
590077,[72956]
590070,[152134]
590058,[72956]
590017,"[163454, 153578, 152273]"
